article;link
2501.13377v2.xml;https://github.com/xm3van/reasearch-project-erc20-governance
2501.13377v2.xml;https://www.coingecko.com/
2501.13377v2.xml;https://defillama.com/
2501.13377v2.xml;https://etherscan.io/labelcloud
2501.13377v2.xml;https://www.nansen.ai/
2501.13377v2.xml;https://www.arkhamintelligence.com/
2501.13377v2.xml;https://docs.yearn.fi/resources/defi-glossary/
2501.13377v2.xml;http://dx.doi.org/10.20955/r.103.153-74
2501.13377v2.xml;https://github.com/blockchain-etl/ethereum-etl
2501.13377v2.xml;https://doi.org/10.1038/srep39467
2501.13377v2.xml;https://doi.org/10.7250/csimq.2022-31.04
2501.13377v2.xml;https://doi.org/10.24251/HICSS.2022.734
2501.13377v2.xml;https://aisel.aisnet.org/icis2023/blockchain/blockchain/8
2501.13377v2.xml;https://eips.ethereum.org/EIPS/eip-20
2501.13377v2.xml;https://docs.uniswap.org/concepts/governance/process
2501.13377v2.xml;https://uniswap.org/whitepaper-v3.pdf
2501.13377v2.xml;https://gov.uniswap.org/categories
2501.13377v2.xml;https://mips.makerdao.com/mips/details/MIP101#scope
2501.13377v2.xml;https://manual.makerdao.com/governance-processes/voting-in-makerdao
2501.13377v2.xml;https://docs.aave.com/governance/master/governance-process
2501.13377v2.xml;https://docs.aave.com/aavenomics/governance
2501.13377v2.xml;https://lido.fi/governance
2501.13377v2.xml;https://docs.yearn.finance/contributing/governance/proposal-process
2501.13377v2.xml;https://docs.yearn.finance/contributing/governance/governance-and-operations
2501.13377v2.xml;https://docs.aura.finance/aura/usdaura/vote-locking
2501.13377v2.xml;https://docs.bitdao.io/litepaper-1/governance-overview
2501.13377v2.xml;https://docs.sushi.com/docs/Governance/CurrentGovernanceModel
2501.13377v2.xml;https://www.dydxdao.info/dydx-governance/governance-architecture
2501.13377v2.xml;https://gov.instadapp.io/t/governance-flow/31
2501.13377v2.xml;https://blog.instadapp.io/protocol-and-governance/
2501.13377v2.xml;https://resources.curve.fi/governance/understanding-governance/
2501.13377v2.xml;https://docs.convexfinance.com/convexfinance/general-information/understanding-cvx
2501.13377v2.xml;https://forum.balancer.fi/t/proposal-balancer-v2-liquidity-mining-program/1678
2501.13377v2.xml;https://docs.balancer.fi/concepts/governance/
2501.13377v2.xml;https://docs.compound.finance/v2/governance/
2501.13377v2.xml;https://gov.1inch.community/docs/governance/overview,Ac-cessed:10
2602.15062v1.xml;https://unsceb.org/fs-revenue-government-donor
2602.15062v1.xml;https://data.un.org/Data.aspx?d=SNA&f=group_code%3a301
2406.12995v1.xml;https://www.sec.gov/news/statement/2013-09-18-open-meeting-statement-kms
2406.12995v1.xml;https://tinyurl.com/y2jze7ys
2406.12995v1.xml;https://www.sec.gov/news/statement/2013-09-18-open-meeting-statement-kms
2406.12995v1.xml;https://tinyurl.com/y2jze7ys
2406.12995v1.xml;https://nces.ed.gov/fastfacts/display.asp?id=66
2406.12995v1.xml;https://nces.ed.gov/fastfacts/display.asp?id=66
2406.12995v1.xml;https://www.wsj.com/articles/
2406.12995v1.xml;https://taxfoundation.org/local-income-taxes-city-and-county-level-income-and-wage-taxes-continuewane/
2406.12995v1.xml;https://www.wsj.com/articles/meet-the-fixers-pitting-states-against-each-other-towin-tax-breaks-for-new-factories-11558152005
2406.12995v1.xml;http://www.msrb.org/msrb1/pdfs/MSRB-Brief-Trends-Bond-Ownership.pdf
2406.12995v1.xml;https://www.oecd.org/environment/consumption-innovation/ENV-tech%20search%20strategies
2406.12995v1.xml;https://www.reutersevents.com/sustainability/75-ceos-call-us-stay-paris-agreement-emissions-continuerise
2406.12995v1.xml;https://hbr.org/2017/05/u-s-business-leaders-want-to-stay-in-the-paris-climate-accord
2406.12995v1.xml;https://www.msrb.org/About-MSRB/About-the-MSRB/Creation-of-the-MSRB.aspx
2406.12995v1.xml;https://www.sec.gov/news/statement/2013-09-18-open-meeting-statement-kms
2406.12995v1.xml;http://www.msrb.org/
2406.12995v1.xml;https://www.wsj.com/articles/amazon-primed-to-boost-property-prices-in-winning-hq2-cities-1542715200
2406.12995v1.xml;https://www.bondbuyer.com/news/
2406.12995v1.xml;https://www.wsj.com/articles/meet-the-fixers-pitting-states-against-each-other-towin-tax-breaks-for-new-factories-11558152005
2406.12995v1.xml;https://www.upjohn.org/bied/home.php
2406.12995v1.xml;https://academic.oup.com/rof/advance-article-pdf/doi/10.1093/rof/rfad021/50465517/rfad021.pdf
2406.12995v1.xml;http://www.goodjobsfirst.org/subsidy-tracker
2406.12995v1.xml;https://academic.oup.com/rcfs/article-pdf/7/2/276/25521732/cfy005.pdf
2406.12995v1.xml;https://doi.org/10.1287/mnsc.2013.1863
2406.12995v1.xml;https://www.sec.gov/News/Testimony/Detail/Testimony/1370540757482014
2511.18576v1.xml;https://doi.org/10.26661/2522-1566/2024-4/30-09
2511.18576v1.xml;https://doi.org/10.26661/2522-1566/2024-4/30-09
2511.18576v1.xml;https://doi.org/10.26661/2522-1566/2024-4/30-09
2511.18576v1.xml;https://doi.org/10.26661/2522-1566/2024-4/30-09
2511.18576v1.xml;https://doi.org/10.26661/2522-1566/2024-4/30-09
2511.18576v1.xml;https://doi.org/10.26661/2522-1566/2024-4/30-09117
2311.15548v1.xml;https://github.com/mk322/fin_hallu
2311.15548v1.xml;https://github.com
2311.15548v1.xml;https://huggingface.co/meta-llama/Llama-2-7b-chat-hf
2311.15548v1.xml;https://huggingface.co/meta-llama/Llama-2-7b-hf
2311.15548v1.xml;https://openai.com/blog/chatgpt
2311.15548v1.xml;https://openai.com/research/GPT4
2311.15548v1.xml;https://en.wikipedia.org/wiki/List_of_business_and_finance_abbreviations
2311.15548v1.xml;https://eoddata.com/symbols.aspx
2311.15548v1.xml;https://query.wikidata.org/
2311.15548v1.xml;https://www.alphavantage.co/
2311.15548v1.xml;https://github.com/voidism/DoLa
2601.12896v2.xml;https://github.com/
2601.12896v2.xml;https://github.com/skimeur/pioneer-detection-method
2601.12896v2.xml;https://github.com/skimeur/pioneer-detection-method
2601.12896v2.xml;https://github.com/yourusername/pioneer-detection-method
2601.12896v2.xml;https://github.com/yourusername/pioneer-detection-method.git
2601.12896v2.xml;https://github.com/skimeur/pioneer-detection-method.git
2601.12896v2.xml;https://github.com/username/project.git
2601.12896v2.xml;https://github.com/username/project.git
2601.12896v2.xml;https://github.com/org-or-user/project.git
2601.12896v2.xml;https://wiki.python.org/moin/BeginnersGuide
2601.12896v2.xml;https://docs.conda.io/projects/conda/en/stable/user-guide/getting-started.html
2601.12896v2.xml;https://www.anaconda.com/docs/getting-started/main
2601.12896v2.xml;https://docs.spyder-ide.org/current/installation.html
2601.12896v2.xml;https://code.visualstudio.com/docs
2601.12896v2.xml;https://www.anaconda.com/download
2601.12896v2.xml;https://code.visualstudio.com
2601.12896v2.xml;https://github.com/skimeur/pioneer-detection-method.git
2601.12896v2.xml;https://git-lfs.github.com/spec/v1
2601.12896v2.xml;https://cran.r-project.org/
2601.12896v2.xml;https://github.com/skimeur/pioneer-detection-method
2601.12896v2.xml;https://github.com/skimeur/pioneer-detection-method
2601.12896v2.xml;https://github.com/skimeur/barro1995-inflation-growth-replication
2601.12896v2.xml;https://github.com/
2601.12896v2.xml;https://github.com/skimeur/pioneer-detection-method
2601.12896v2.xml;https://github.com/skimeur/pioneer-detection-method
2601.12896v2.xml;https://github.com/yourusername/pioneer-detection-method
2601.12896v2.xml;https://github.com/yourusername/pioneer-detection-method.git
2601.12896v2.xml;https://github.com/skimeur/pioneer-detection-method.git
2601.12896v2.xml;https://github.com/username/project.git
2601.12896v2.xml;https://github.com/username/project.git
2601.12896v2.xml;https://github.com/org-or-user/project.git
2601.12896v2.xml;https://wiki.python.org/moin/BeginnersGuide
2601.12896v2.xml;https://docs.conda.io/projects/conda/en/stable/user-guide/getting-started.html
2601.12896v2.xml;https://www.anaconda.com/docs/getting-started/main
2601.12896v2.xml;https://docs.spyder-ide.org/current/installation.html
2601.12896v2.xml;https://code.visualstudio.com/docs
2601.12896v2.xml;https://www.anaconda.com/download
2601.12896v2.xml;https://code.visualstudio.com
2601.12896v2.xml;https://github.com/skimeur/pioneer-detection-method.git
2601.12896v2.xml;https://git-lfs.github.com/spec/v1
2601.12896v2.xml;https://cran.r-project.org/
2601.12896v2.xml;https://github.com/skimeur/pioneer-detection-method
2601.12896v2.xml;https://github.com/skimeur/pioneer-detection-method
2601.12896v2.xml;https://github.com/skimeur/barro1995-inflation-growth-replication
2601.12896v2.xml;https://christophpfeiffer.org/2012/11/07/toda-yamamoto-implementation-in-r/
2601.12896v2.xml;https://www.ecb.europa.eu/stats/ecb_surveys/survey_of_professional_forecasters/html/ecb.spf201902_specialsurvey~7275f9e7e6.en.html
2512.20991v1.xml;https://arxiv.org/abs/2303.08774
2512.20991v1.xml;https://www.gartner.com/en/articles/intelligent-agent-in-ai
2512.20991v1.xml;https://www.who.int/news-room/fact-sheets/detail/healthy-diet
2512.20991v1.xml;https://www.fao.org/nutrition/en/
2512.20991v1.xml;https://www.worldbank.org/en/topic/agriculture/brief/food-security-update
2512.20991v1.xml;https://www.ceicdata.com/en
2603.01803v1.xml;https://defillama.com
2603.01803v1.xml;https://defillama.com
2603.01803v1.xml;https://doi.org/10.1016/j.econlet.2025.112673
2603.01803v1.xml;https://doi.org/10.1016/j.frl.2022.103358
2603.01803v1.xml;https://github.com/DefiLlama/DefiLlamaAdapters/discussions/434
2603.01803v1.xml;https://doi.org/10.1111/ajps.12818
2603.01803v1.xml;https://doi.org/10.1016/j.jeconom.2019.04.011
2603.01803v1.xml;https://doi.org/10.1145/3532857
2603.01803v1.xml;https://doi.org/10.1111/mafi.12357
2603.01803v1.xml;https://doi.org/10.1080/09692290.2025.2476738
2603.01803v1.xml;https://doi.org/10.1093/rfs/hhn053
2603.01803v1.xml;https://doi.org/10.20955/r.103.15374
2603.01803v1.xml;https://doi.org/10.48550/arXiv.2511.22314
